cod,descr,per,anoinicio,unidade
204,Depósitos de poupança a partir de 04.05.2012 - Rentabilidade adicional no período,"""D""",2012,"""% a.m."""
206,Cesta básica,"""M""",1990,"""u.m.c."""
207,Poupança SBPE - Exigibilidades,"""M""",1992,"""u.m.c. (mil)"""
208,Poupança SBPE - Aplicações,"""M""",1992,"""u.m.c. (mil)"""
209,Poupança rural - Exigibilidades,"""M""",1991,"""u.m.c. (mil)"""
210,Poupança rural - Aplicações,"""M""",1991,"""u.m.c. (mil)"""
212,Fundo de aplicações financeiras - Aplicações em títulos do Banco Central,"""M""",1991,"""u.m.c. (mil)"""
213,Fundo de renda fixa-curto prazo - Patrimônio líquido,"""D""",1994,"""u.m.c. (mil)"""
214,Fundo de renda fixa-curto prazo - Captação líquida,"""D""",1994,"""u.m.c. (mil)"""
215,Fundo de renda fixa-curto prazo - Rentabilidade diária (%),"""D""",1994,"""% a.d."""
216,Fundo de renda fixa-curto prazo - Aplicações em depósitos obrigatórios,"""M""",1994,"""u.m.c. (mil)"""
217,Fundo de renda fixa-curto prazo - Aplicações em operações compromissadas,"""M""",1994,"""u.m.c. (mil)"""
218,Fundo de renda fixa-curto prazo - Aplicações em quotas FIEX,"""M""",1994,"""u.m.c. (mil)"""
219,Fundo de renda fixa-curto prazo - Aplicações em títulos do Tesouro Nacional,"""M""",1994,"""u.m.c. (mil)"""
220,Fundo de renda fixa-curto prazo - Aplicações em títulos do Banco Central,"""M""",1994,"""u.m.c. (mil)"""
221,Fundo de renda fixa-curto prazo - Aplicações em títulos privados,"""M""",1994,"""u.m.c. (mil)"""
222,Fundo de renda fixa-curto prazo - Aplicações em títulos estaduais e municipais,"""M""",1994,"""u.m.c. (mil)"""
225,Índice de preços ao produtor amplo,"""M""",1944,"""Var. % mensal"""
226,Taxa de juros - Taxa Referencial (TR),"""D""",1991,"""% a.m."""
227,Taxa de juros - Taxa Referencial (TRD/TR) pro-rata,"""D""",1991,"""% a.d."""
228,Taxa de juros - Índice diário de remuneração médio (IDRM),"""D""",1994,"""A definir"""
229,Índice de preços ao consumidor-série r (IPC-r),"""M""",1994,"""Var. % mensal"""
230,Fundo de comodities - Aplicações em direitos creditórios cotas-partes,"""M""",1992,"""u.m.c. (mil)"""
231,Fundo de comodities - Aplicações em quotas FIEX,"""M""",1992,"""u.m.c. (mil)"""
232,Fundo de comodities - Outras aplicações,"""M""",1992,"""u.m.c. (mil)"""
233,Fundo de investimento-capital estrangeiro - Patrimônio líquido,"""D""",1993,"""u.m.c. (mil)"""
234,Fundo de investimento-capital estrangeiro - Captação líquida,"""D""",1993,"""u.m.c. (mil)"""
235,Fundo de investimento-capital estrangeiro - Rentabilidade diária (%),"""D""",1993,"""% a.d."""
236,Fundo de conversão-capital estrangeiro - Patrimônio líquido,"""D""",1993,"""u.m.c. (mil)"""
237,Fundo de conversão-capital estrangeiro - Captação líquida,"""D""",1993,"""u.m.c. (mil)"""
238,Fundo de conversão-capital estrangeiro - Rentabilidade diária (%),"""D""",1993,"""% a.d."""
239,Poupança SBPE - Saldos,"""D""",1991,"""u.m.c. (mil)"""
240,Poupança SBPE - Captação líquida,"""D""",1991,"""u.m.c. (mil)"""
241,Poupança rural - Saldos,"""D""",1991,"""u.m.c. (mil)"""
242,Poupança rural - Captação líquida,"""D""",1991,"""u.m.c. (mil)"""
243,Depósitos a prazo (CDB/RDB-pré-fixados) - Captação líquida,"""D""",1992,"""u.m.c. (mil)"""
244,Depósitos a prazo (CDB/RDB-pós-fixados) - Captação líquida,"""D""",1992,"""u.m.c. (mil)"""
245,Depósitos a prazo (CDB/RDB-pré-fixados) - Captação diária de instituições financeiras,"""D""",1992,"""u.m.c. (mil)"""
246,Depósitos a prazo (CDB/RDB-pré-fixados) - Captação diária de investidores institucionais,"""D""",1992,"""u.m.c. (mil)"""
247,Depósitos a prazo (CDB/RDB-pré-fixados) - Captação diária de pessoas jurídicas,"""D""",1992,"""u.m.c. (mil)"""
248,Depósitos a prazo (CDB/RDB-pré-fixados) - Captação diária de pessoas físicas,"""D""",1992,"""u.m.c. (mil)"""
249,Depósitos a prazo (CDB/RDB-pós-fixados) - Captação diária de instituições financeiras,"""D""",1992,"""u.m.c. (mil)"""
250,Depósitos a prazo (CDB/RDB-pós-fixados) - Captação diária de investidores institucionais,"""D""",1992,"""u.m.c. (mil)"""
251,Depósitos a prazo (CDB/RDB-pós-fixados) - Captação diária de pessoas jurídicas,"""D""",1992,"""u.m.c. (mil)"""
252,Depósitos a prazo (CDB/RDB-pós-fixados) - Captação diária de pessoas físicas,"""D""",1992,"""u.m.c. (mil)"""
253,Taxa de juros - Taxa Básica Financeira (TBF),"""D""",1995,"""% a.m."""
254,Taxa de juros - TBF pro rata,"""D""",1995,"""% a.d."""
256,Taxa de juros - TJLP,"""M""",1994,"""% a.a."""
257,Fundo de investimento financeiro - FIF CP - Patrimônio líquido,"""D""",1995,"""u.m.c. (mil)"""
258,Fundo de investimento financeiro - FIF CP - Captação líquida,"""D""",1995,"""u.m.c. (mil)"""
259,Fundo de investimento financeiro - FIF CP - Rentabilidade diária (%),"""D""",1995,"""% a.d."""
260,Fundo de investimento financeiro - FIF 30 - Patrimônio líquido,"""D""",1995,"""u.m.c. (mil)"""
261,Fundo de investimento financeiro - FIF 30 - Captação líquida,"""D""",1995,"""u.m.c. (mil)"""
262,Fundo de investimento financeiro - FIF 30 - Rentabilidade diária (%),"""D""",1995,"""% a.d."""
263,Fundo de investimento financeiro - FIF 60 - Patrimônio liquído,"""D""",1995,"""u.m.c. (mil)"""
264,Fundo de investimento financeiro - FIF 60 - Captação líquida,"""D""",1995,"""u.m.c. (mil)"""
265,Fundo de investimento financeiro - FIF 60 - Rentabilidade diária (%),"""D""",1995,"""% a.d."""
266,Fundo de investimento financeiro - FIF 90 - Patrimônio liquído,"""D""",1995,"""u.m.c. (mil)"""
267,Fundo de investimento financeiro - FIF 90 - Captação líquida,"""D""",1995,"""u.m.c. (mil)"""
268,Fundo de investimento financeiro - FIF 90 - Rentabilidade diária (%),"""D""",1995,"""% a.d."""
269,Fundo de investimento financeiro - FIF total - Patrimônio líquido - diário,"""D""",1995,"""u.m.c. (mil)"""
270,Fundo de investimento financeiro - FIF total - Captação líquida,"""D""",1995,"""u.m.c. (mil)"""
272,Índice de preços ao consumidor (IPC-Fipe) - Segunda quadrissemana,"""M""",1991,"""Var. % mensal"""
273,Unidade padrão de capital (UPC),"""M""",1964,"""u.m.c."""
274,Fundo de investimento financeiro - FIF CP - Captação,"""D""",1995,"""u.m.c. (mil)"""
275,Fundo de investimento financeiro - FIF CP - Resgates,"""D""",1995,"""u.m.c. (mil)"""
276,Fundo de investimento financeiro - FIF CP - Posições em derivativos (mercado futuro),"""D""",1995,"""u.m.c. (mil)"""
277,Fundo de investimento financeiro - FIF CP - Margem de garantia,"""D""",1995,"""u.m.c. (mil)"""
278,Fundo de investimento financeiro - FIF CP - Posições em derivativos (mercado de opções/Box),"""D""",1995,"""u.m.c. (mil)"""
