cod,descr
265,Fundo de investimento financeiro - FIF 60 - Rentabilidade diária (%)
266,Fundo de investimento financeiro - FIF 90 - Patrimônio liquído
267,Fundo de investimento financeiro - FIF 90 - Captação líquida
268,Fundo de investimento financeiro - FIF 90 - Rentabilidade diária (%)
269,Fundo de investimento financeiro - FIF total - Patrimônio líquido - diário
270,Fundo de investimento financeiro - FIF total - Captação líquida
272,Índice de preços ao consumidor (IPC-Fipe) - Segunda quadrissemana
273,Unidade padrão de capital (UPC)
274,Fundo de investimento financeiro - FIF CP - Captação
275,Fundo de investimento financeiro - FIF CP - Resgates
276,Fundo de investimento financeiro - FIF CP - Posições em derivativos (mercado futuro)
277,Fundo de investimento financeiro - FIF CP - Margem de garantia
278,Fundo de investimento financeiro - FIF CP - Posições em derivativos (mercado de opções/Box)
279,Fundo de investimento financeiro - FIF CP - Posições em derivativos (SWAP)
280,Fundo de investimento financeiro - FIF 30 - Captação
281,Fundo de investimento financeiro - FIF 30 - Resgates
282,Fundo de investimento financeiro - FIF 30 - Posições em derivativos (mercado futuro)
283,Fundo de investimento financeiro - FIF 30 - Margem de garantia
284,Fundo de investimento financeiro - FIF 30 - Posições em derivativos (mercado de opções/Box)
285,Fundo de investimento financeiro - FIF 30 - Posições em derivativos (SWAP)
286,Fundo de investimento financeiro - FIF 60 - Captação
287,Fundo de investimento financeiro - FIF 60 - Resgates
288,Fundo de investimento financeiro - FIF 60 - Posições em derivativos (mercado futuro)
289,Fundo de investimento financeiro - FIF 60 - Margem de garantia
290,Fundo de investimento financeiro - FIF 60 - Posições em derivativos (mercado de opções/Box)
291,Fundo de investimento financeiro - FIF 60 - Posições em derivativos (SWAP)
292,Fundo de investimento financeiro - FIF 90 - Captação
293,Fundo de investimento financeiro - FIF 90 - Resgates
294,Fundo de investimento financeiro - FIF 90 - Posições em derivativos (mercado futuro)
295,Fundo de investimento financeiro - FIF 90 - Margem de garantia
296,Fundo de investimento financeiro - FIF 90 - Posições em derivativos (mercado de opções/Box)
297,Fundo de investimento financeiro - FIF 90 - Posições em derivativos (SWAP)
298,Fundo de investimento financeiro - FIF total - Captação
299,Fundo de investimento financeiro - FIF total - Resgates
300,Fundo de investimento financeiro - FIF total - Posições em derivativos (mercado futuro)
301,Fundo de investimento financeiro - FIF total - Margem de garantia
302,Fundo de investimento financeiro - FIF total - Posições em derivativos (mercado de opções/Box)
303,Fundo de investimento financeiro - FIF total - Posições em derivativos (SWAP)
304,Fundo de investimento financeiro - FIF CP - Aplicações em títulos de emissão do Tesouro
305,Fundo de investimento financeiro - FIF CP - Aplicações em títulos de emissão do Banco Central
306,Fundo de investimento financeiro - FIF CP - Aplicações em títulos estaduais
307,Fundo de investimento financeiro - FIF CP - Aplicações em títulos municipais
308,Fundo de investimento financeiro - FIF CP - Aplicações em CDB/RDB
309,Fundo de investimento financeiro - FIF CP - Aplicações em debêntures
310,Fundo de investimento financeiro - FIF CP - Aplicações em letras hipotecárias
311,Fundo de investimento financeiro - FIF CP - Aplicações em letras de câmbio
313,Fundo de investimento financeiro - FIF CP - Aplicações em warrants
314,Fundo de investimento financeiro - FIF CP - Aplicações em export notes
315,Fundo de investimento financeiro - FIF CP - Aplicações em ações para conversão de debêntures
316,Fundo de investimento financeiro - FIF CP - Aplicações em ações de companhias abertas
317,Fundo de investimento financeiro - FIF CP - Outras aplicações
318,Fundo de investimento financeiro - FIF CP - Aplicações em operações compromissadas
319,Fundo de investimento financeiro - FIF 30 - Aplicações em títulos de emissão do Tesouro
320,Fundo de investimento financeiro - FIF 30 - Aplicações em títulos de emissão do Banco Central
321,Fundo de investimento financeiro - FIF 30 - Aplicações em títulos estaduais
322,Fundo de investimento financeiro - FIF 30 - Aplicações em títulos municipais
323,Fundo de investimento financeiro - FIF 30 - Aplicações em CDB/RDB
324,Fundo de investimento financeiro - FIF 30 - Aplicações em debêntures
325,Fundo de investimento financeiro - FIF 30 - Aplicações em letras hipotecárias
326,Fundo de investimento financeiro - FIF 30 - Aplicações em letras de câmbio
327,Fundo de investimento financeiro - FIF 30 - Aplicações em ouro
328,Fundo de investimento financeiro - FIF 30 - Aplicações em warrants
329,Fundo de investimento financeiro - FIF 30 - Aplicações em export notes
330,Fundo de investimento financeiro - FIF 30 - Aplicações em ações para conversão de debêntures
331,Fundo de investimento financeiro - FIF 30 - Aplicações em ações de companhias abertas
332,Fundo de investimento financeiro - FIF 30 - Outras aplicações
333,Fundo de investimento financeiro - FIF 30 - Aplicações em operações compromissadas
334,Fundo de investimento financeiro - FIF 60 - Aplicações em títulos de emissão do Tesouro
335,Fundo de investimento financeiro - FIF 60 - Aplicações em títulos de emissão do Banco Central
336,Fundo de investimento financeiro - FIF 60 - Aplicações em títulos estaduais
337,Fundo de investimento financeiro - FIF 60 - Aplicações em títulos municipais
338,Fundo de investimento financeiro - FIF 60 - Aplicações em CDB/RDB
339,Fundo de investimento financeiro - FIF 60 - Aplicações em debêntures
340,Fundo de investimento financeiro - FIF 60 - Aplicações em letras hipotecárias
341,Fundo de investimento financeiro - FIF 60 - Aplicações em letras de câmbio
342,Fundo de investimento financeiro - FIF 60 - Aplicações em ouro
343,Fundo de investimento financeiro - FIF 60 - Aplicações em warrants
344,Fundo de investimento financeiro - FIF 60 - Aplicações em export notes
345,Fundo de investimento financeiro - FIF 60 - Aplicações em ações para conversão de debêntures
346,Fundo de investimento financeiro - FIF 60 - Aplicações em ações de companhias abertas
347,Fundo de investimento financeiro - FIF 60 - Outras aplicações
348,Fundo de investimento financeiro - FIF 60 - Aplicações em operações compromissadas
349,Fundo de investimento financeiro - FIF 90 - Aplicações em títulos de emissão do Tesouro
350,Fundo de investimento financeiro - FIF 90 - Aplicações em títulos de emissão do Banco Central
351,Fundo de investimento financeiro - FIF 90 - Aplicações em títulos estaduais
352,Fundo de investimento financeiro - FIF 90 - Aplicações em títulos municipais
353,Fundo de investimento financeiro - FIF 90 - Aplicações em CDB/RDB
354,Fundo de investimento financeiro - FIF 90 - Aplicações em debêntures
355,Fundo de investimento financeiro - FIF 90 - Aplicações em letras hipotecárias
356,Fundo de investimento financeiro - FIF 90 - Aplicações em letras de câmbio
358,Fundo de investimento financeiro - FIF 90 - Aplicações em warrants
359,Fundo de investimento financeiro - FIF 90 - Aplicações em export notes
360,Fundo de investimento financeiro - FIF 90 - Aplicações em ações para conversão de debêntures
361,Fundo de investimento financeiro - FIF 90 - Aplicações em ações de companhias abertas
362,Fundo de investimento financeiro - FIF 90 - Outras aplicações
363,Fundo de investimento financeiro - FIF 90 - Aplicações em operações compromissadas
364,Fundo de investimento financeiro - FIF total - Aplicações em títulos de emissão do Tesouro
365,Fundo de investimento financeiro - FIF total - Aplicações em títulos de emissão do Banco Central
366,Fundo de investimento financeiro - FIF total - Aplicações em títulos estaduais
367,Fundo de investimento financeiro - FIF total - Aplicações em títulos municipais
368,Fundo de investimento financeiro - FIF total - Aplicações em CDB/RDB
369,Fundo de investimento financeiro - FIF total - Aplicações em debêntures
370,Fundo de investimento financeiro - FIF total - Aplicações em letras hipotecárias
371,Fundo de investimento financeiro - FIF total - Aplicações em letras de câmbio
372,Fundo de investimento financeiro - FIF total - Aplicações em ouro
373,Fundo de investimento financeiro - FIF total - Aplicações em warrants
374,Fundo de investimento financeiro - FIF total - Aplicações em export notes
375,Fundo de investimento financeiro - FIF total - Aplicações em ações para conversão de debêntures
376,Fundo de investimento financeiro - FIF total - Aplicações em ações de companhias abertas
